"","Well","OD","Time","Plate","ID","Strain","State","Trehalose","Condition","Medium","Replicate"
"332","D2",0.146,8,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"335","G2",0.1198,8,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"336","H2",0.1098,8,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"337","A2",0.1813,10,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"338","B2",0.1523,10,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
"339","C2",0.1908,10,1,"1-C2","Y7039 x YHL033C","Liquid","Growth Medium","RT","YPD",2
"340","D2",0.1492,10,1,"1-D2","Y7039 x YHL033C","Dried","Growth Medium","RT","YPD",2
"343","G2",0.1197,10,1,"1-G2","YPD-Blank","Liquid","No","RT","YPD",2
"344","H2",0.1096,10,1,"1-H2","YPD-Blank","Liquid","Growth Medium","RT","YPD",2
"345","A2",0.1775,12,1,"1-A2","Y7039 x YHL033C","Liquid","Growth Medium","Heat Shock","YPD",2
"346","B2",0.1507,12,1,"1-B2","Y7039 x YHL033C","Dried","Growth Medium","Heat Shock","YPD",2
